Country;Language;ID;ISO2;Region1;Region2;Region3;Region4;ZIP;City;Area1;Area2;Lat;Lng;TZ;UTC;DST
"ZA";"EN";1;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4720";"Cedarville";"";"";-30.38639;29.04111;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";2;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4751";"Magadla";"Nyaniso";"";-30.57111;28.75750;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";3;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4740";"Maluti";"";"";-30.26472;28.54083;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";4;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4740";"Maluti";"Likhohlong";"";-30.26472;28.54083;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";5;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4740";"Maluti";"Mapfontein";"";-30.24222;28.63278;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";6;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4740";"Maluti";"Snakefield";"";-30.26472;28.54083;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";7;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4740";"Maluti";"Taylerville";"";-30.26472;28.54083;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";8;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4744";"Maluti";"Mzongwana";"";-30.26472;28.54083;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";9;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4730";"Matatiele";"";"";-30.34167;28.81194;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";10;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4730";"Matatiele";"Harry Gwala Park";"";-30.34167;28.81194;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";11;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4730";"Matatiele";"Itsokolele";"";-30.34167;28.81194;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";12;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4731";"Matatiele";"Khoapa";"";-30.29417;28.74917;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";13;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-5090";"Mount Frere";"Mjomla";"";-30.60056;28.84333;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";14;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4720";"Mzingizi";"";"";-30.38639;29.04111;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";15;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4743";"Queen's Mercy";"";"";-30.26472;28.54083;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";16;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4743";"Queen's Mercy";"Bertievale";"";-30.26472;28.54083;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";17;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4743";"Queen's Mercy";"Diahosville";"";-30.26472;28.54083;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";18;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Matatiele";"";"B-4788";"Queen's Mercy";"Nkaus";"";-30.26472;28.54083;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";19;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Umzimvubu";"";"B-4752";"Magadla";"Rolweni";"";-30.64361;28.73083;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";20;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Umzimvubu";"";"B-4735";"Mount Ayliff";"";"";-30.80917;29.36694;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";21;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Umzimvubu";"";"B-4735";"Mount Ayliff";"Elugelweni";"";-30.80917;29.36694;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";22;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Umzimvubu";"";"B-4735";"Mount Ayliff";"Gugveni";"";-30.80917;29.36694;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";23;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Umzimvubu";"";"B-4735";"Mount Ayliff";"Lubaleko";"";-30.69611;29.36222;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";24;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Umzimvubu";"";"B-4735";"Mount Ayliff";"Sugar Bush";"";-30.80917;29.36694;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";25;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Umzimvubu";"";"B-4736";"Mount Ayliff";"Ntsizwa";"";-30.78583;29.27861;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";26;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Umzimvubu";"";"B-4737";"Mount Ayliff";"Dutyini";"";-30.83139;29.27417;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";27;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Umzimvubu";"";"B-5086";"Mount Frere";"Buffalo Nek";"";-30.79833;28.85972;"Africa/Johannesburg";"UTC+2";"N"
"ZA";"EN";28;"ZA-EC";"Eastern Cape";"Alfred Nzo (DC44)";"Umzimvubu";"";"B-5087";"Mount Frere";"Rode";"";-30.78583;29.11806;"Africa/Johannesburg";"UTC+2";"N"
