"code","short_name"
"0000","Demo Clinic 1"
"0001","Demo Clinic 2"
"0002","Aberdeen Hospital"
"0003","Aberdeen Mobile 1"
"0004","Addo Clinic"
"0005","Addo Mobile 1"
"0006","Addo Mobile 2"
"0007","Adelaide Gateway"
"0008","Adelaide Hospital"
"0009","Adelaide Mobile 1"
"0010","Adelaide Mobile 2"
"0011","Aeroville"
"0012","Afsondering"
"0013","Agnes Rest"
"0014","Alexandria Clinic"
"0015","Alexandria Mobile 1"
"0016","Alexandria Mobile 2"
"0017","Algoa Frail Care Centre"
"0018","Algoa Park Clinic"
"0019","Aliwal Mobile 1"
"0020","Aliwal North Block H"
"0021","Aliwal North Crisis Centre"
"0022","Aliwal North Hospital"
"0023","All Saints Gateway"
"0024","All Saints Hospital"
"0025","Alphendale"
"0026","Amabele"
"0027","Amadiba"
"0028","Amahleke"
"0029","Amalinda Mobile 1"
"0030","Amandengane"
"0031","Amantshangase"
"0032","Amathole Basin"
"0033","Amatola Central Mobile 1"
"0034","Amatola East Coast Mobile 1"
"0035","Amatola Igoda Mobile 1"
"0036","Amatola North Mobile 1"
"0037","Amatola West Mobile 1"
"0038","Andrieskraal Satellite Clinic"
"0039","Andries Vosloo Hospital"
"0040","Anglo African Str"
"0041","Askeaton"
"0042","Aspiranza"
"0043","A Mandla"
"0044","Aurora Hosp"
"0045","Bacclesfarm"
"0046","Badi"
"0047","Bala"
"0048","Balasi Valley Mobile 1"
"0049","Baleni"
"0050","Balfour Clinic"
"0051","Balfour Mobile 1"
"0052","Bambisana Hospital"
"0053","Bambisana Mobile 1"
"0054","Bambisana PHC"
"0055","Banzi"
"0056","Barkly East Mobile 1"
"0057","Barkly East Mobile 2"
"0058","Barkly East Mobile 3"
"0059","Baroda Clin"
"0060","Baviaans"
"0061","Baziya CHC"
"0062","Clicks (Beacon Bay)"
"0063","Beacon Bay"
"0064","B Ngwentle"
"0065","Bedford Clinic"
"0066","Bedford Hospital"
"0067","Bedford Mobile 1 (Camdeboo)"
"0068","Bedford Mobile 1 (Nkonkobe)"
"0069","Bedford Orthopaedic Hospital (Mthatha)"
"0070","Beestekraal"
"0071","Bengu (Emala)"
"0072","Bensonvale"
"0073","Bergsig"
"0074","Berlin"
"0075","Bethania"
"0076","Bezuidenhoutville"
"0077","Bhele"
"0078","Bhisho Ethembeni Mobile 1"
"0079","Bhisho Gateway"
"0080","Bhisho Hospital"
"0081","Bhisho Parl Clinic"
"0082","Bhisho Trauma Unit"
"0083","Bhongweni"
"0084","Bilatye"
"0085","Bityi"
"0086","Bizana Corr"
"0087","Bizwell N-med"
"0088","BJ Vorster (Kareedouw) Hospital"
"0089","Bluegums"
"0090","Bodweni"
"0091","Bokleni"
"0092","Bolo"
"0093","Bolotwa (Cofim)"
"0094","Bolotwa (Idutywa)"
"0095","Bomvana"
"0096","Bomvini"
"0097","Boomplaas"
"0098","Booysens Park"
"0099","Braelyn Clinic"
"0100","Braelyn Ext"
"0101","Breidbach"
"0102","Brug Straat Clinic"
"0103","Buchele Clinic"
"0104","Bulembu"
"0105","Buntingville"
"0106","Burgersdorp Clinic"
"0107","Burgersdorp Hospital"
"0108","Burgersdorp Mobile 1"
"0109","Burnshill"
"0110","Butterworth Corr"
"0111","Butterworth Gateway"
"0112","Butterworth Hospital"
"0113","Butterworth Mobile 1"
"0114","Caba"
"0115","Caguba"
"0116","Cala Hospital"
"0117","Cala Mobile 1"
"0118","Cala Mobile 2"
"0119","Cambridge"
"0120","Camdeboo Demarcated Municipal Area South Mobile 1"
"0121","Cancele"
"0122","Canzibe Gateway"
"0123","Canzibe Hospital"
"0124","Canzibe Mobile 1"
"0125","Cata"
"0126","Cathcart Clinic"
"0127","Cathcart Hospital"
"0128","Cathcart Mobile 1"
"0129","Cathcart Mobile 2"
"0130","Catholic Medic Board NMS"
"0131","CC Lloyd"
"0132","Cecilia Makiwane Hospital"
"0133","Central CHC"
"0134","EL Central"
"0135","Central Clinic (King William's Town)"
"0136","Central PE"
"0137","Chatty"
"0138","Chris Hani Clinic"
"0139","Cimezile"
"0140","Civic Centre"
"0141","Clarkebury"
"0142","Clarkson Clinic"
"0143","Cleary Park Clicks Pharm"
"0144","Cloete Joubert (Barkly East) Hospital"
"0145","Coega Dev Corp OHC"
"0146","Cofimvaba Hospital"
"0147","Cofimvaba Mobile 1"
"0148","Cofimvaba Mobile 2"
"0149","Cofimvaba Mobile 3"
"0150","Colchester HP"
"0151","Coldstream Satellite Clinic"
"0152","Collondale Satellite Clinic"
"0153","Cradock Corr"
"0154","Cradock Crisis Centre"
"0155","Cradock Hospital"
"0156","Cradock Mobile 1"
"0157","Cradock Mobile 2"
"0158","Cradock Mobile 3"
"0159","Cumakala 1"
"0160","Cumakala 2"
"0161","Cuyler Hospital"
"0162","Cuyler Youth Centre"
"0163","Cwecweni"
"0164","Cwele"
"0165","Cwili"
"0166","Daliwe"
"0167","Daliwonga"
"0168","Debe Nek"
"0169","Didimana"
"0170","Dimbaza CHC"
"0171","Dischem Phar"
"0172","Dohne"
"0173","Donnington"
"0174","Dora Nginza Hospital"
"0175","Dora Nginza Ncedo Crisis Centre"
"0176","Dordrecht Clinic"
"0177","Dordrecht Hospital"
"0178","Double Falls"
"0179","Drake Road"
"0180","CL Bikitsha"
"0181","Dr Malizo Mpehle Memorial Hospital"
"0182","D Village CHC"
"0183","Dundee"
"0184","Dungu"
"0185","Du Preez Street"
"0186","EL Mobile 1"
"0187","EL Mobile 2"
"0188","EL Mobile 3"
"0189","EL Mobile 4"
"0190","EL Mobile 5"
"0191","East London Private Hospital"
"0192","East London Trust Mobile B"
"0193","ECIPA GP(SD A)"
"0194","ECIPA GP (SD C)"
"0195","Edamini"
"0196","Efata"
"0197","Ekuphumleni"
"0198","Ekuphumleni Satellite Clinic (Nelson Mandela Bay)"
"0199","Elizabeth Donkin Hospital"
"0200","Elliot Clinic"
"0201","Elliot Hospital"
"0202","Elliot Mobile 1"
"0203","Elucwecwe"
"0204","Eluhewini"
"0205","Elukholweni"
"0206","Elundini Corr"
"0207","Eluxolweni"
"0208","Emmanuel Haven TC"
"0209","Empilisweni Clinic"
"0210","Empilisweni Hospital"
"0211","Empilweni CHC"
"0212","Empilweni TB Hospital"
"0213","Engojini"
"0214","EP Command"
"0215","Esilindini"
"0216","Ethembeni"
"0217","Ethembeni Crisis Centre"
"0218","Eureka"
"0219","Ezibeleni"
"0220","Ezingcuka"
"0221","Faith and Hope N-med"
"0222","Fezeka NU 3"
"0223","Fish River"
